user_id,occupation,acquisition_channel,subscription_tier,signup_date
1,Employee,Organic Search,Free,2025-01-15
2,Entrepreneur,Organic Search,Free,2024-02-24
3,Student,Paid Ads,Free,2025-07-26
4,Employee,Referral,Pro,2024-11-05
5,Student,Social Media,Pro,2025-11-10
6,Freelancer,Social Media,Free,2025-03-03
7,Student,Referral,Free,2025-10-16
8,Student,Organic Search,Free,2024-02-11
9,Employee,Social Media,Free,2024-02-03
10,Freelancer,Paid Ads,Free,2024-06-13
11,Entrepreneur,Paid Ads,Free,2025-08-25
12,Freelancer,Organic Search,Free,2024-04-13
13,Employee,Organic Search,Free,2024-06-29
14,Student,Organic Search,Pro,2024-04-20
15,Entrepreneur,Organic Search,Free,2024-09-08
16,Student,Referral,Free,2024-06-13
17,Student,Organic Search,Pro,2024-12-29
18,Student,Organic Search,Free,2025-08-03
19,Employee,Social Media,Free,2024-02-08
20,Student,Referral,Free,2025-12-30
21,Freelancer,Social Media,Free,2024-01-23
22,Employee,Referral,Free,2025-02-10
23,Freelancer,Referral,Free,2024-08-18
24,Employee,Social Media,Free,2024-06-29
25,Employee,Social Media,Free,2024-01-03
26,Employee,Organic Search,Free,2025-07-11
27,Employee,Organic Search,Free,2025-10-01
28,Student,Organic Search,Pro,2024-07-04
29,Entrepreneur,Referral,Free,2025-07-19
30,Student,Paid Ads,Pro,2025-09-18
31,Entrepreneur,Organic Search,Free,2025-08-30
32,Freelancer,Social Media,Free,2024-11-15
33,Entrepreneur,Referral,Free,2024-05-15
34,Student,Paid Ads,Free,2025-06-07
35,Employee,Paid Ads,Free,2024-04-07
36,Student,Paid Ads,Free,2024-06-08
37,Student,Social Media,Pro,2024-06-29
38,Entrepreneur,Paid Ads,Pro,2025-05-04
39,Employee,Organic Search,Pro,2025-10-02
40,Student,Referral,Free,2025-04-29
41,Student,Paid Ads,Free,2025-02-13
42,Employee,Referral,Pro,2024-07-21
43,Student,Organic Search,Free,2025-02-08
44,Student,Organic Search,Free,2025-03-07
45,Student,Social Media,Pro,2025-08-15
46,Employee,Social Media,Free,2024-12-29
47,Entrepreneur,Referral,Free,2024-11-25
48,Employee,Social Media,Free,2024-05-08
49,Entrepreneur,Referral,Free,2024-07-03
50,Freelancer,Organic Search,Free,2024-07-25
51,Employee,Referral,Free,2025-06-21
52,Employee,Social Media,Free,2024-09-25
53,Employee,Organic Search,Free,2025-08-23
54,Student,Referral,Pro,2025-04-12
55,Employee,Referral,Free,2025-06-18
56,Employee,Social Media,Pro,2024-11-14
57,Freelancer,Social Media,Free,2025-09-08
58,Entrepreneur,Organic Search,Free,2025-11-22
59,Student,Organic Search,Pro,2024-04-17
60,Employee,Paid Ads,Free,2025-04-24
61,Freelancer,Paid Ads,Free,2024-04-18
62,Employee,Social Media,Pro,2025-03-19
63,Student,Referral,Free,2024-07-27
64,Employee,Organic Search,Pro,2024-02-14
65,Employee,Referral,Pro,2024-04-27
66,Employee,Paid Ads,Free,2025-04-23
67,Entrepreneur,Referral,Free,2025-08-26
68,Employee,Paid Ads,Free,2025-03-20
69,Employee,Paid Ads,Pro,2024-06-06
70,Entrepreneur,Referral,Free,2025-06-14
71,Student,Organic Search,Free,2024-01-06
72,Employee,Referral,Free,2024-09-18
73,Employee,Organic Search,Free,2024-06-16
74,Employee,Social Media,Free,2024-11-05
75,Employee,Social Media,Pro,2025-04-29
76,Employee,Organic Search,Free,2024-03-13
77,Student,Referral,Free,2025-08-30
78,Entrepreneur,Paid Ads,Free,2025-03-13
79,Employee,Referral,Pro,2025-05-29
80,Entrepreneur,Social Media,Pro,2025-06-25
81,Employee,Paid Ads,Pro,2024-06-11
82,Entrepreneur,Referral,Free,2025-05-29
83,Student,Social Media,Pro,2025-01-12
84,Freelancer,Social Media,Free,2024-11-05
85,Employee,Social Media,Free,2025-05-24
86,Freelancer,Referral,Pro,2025-08-23
87,Student,Organic Search,Free,2025-03-08
88,Employee,Referral,Pro,2024-01-15
89,Employee,Organic Search,Free,2025-01-02
90,Employee,Social Media,Free,2024-02-08
91,Student,Social Media,Pro,2024-10-18
92,Employee,Referral,Free,2024-02-06
93,Entrepreneur,Social Media,Free,2025-07-14
94,Employee,Organic Search,Free,2025-05-17
95,Entrepreneur,Paid Ads,Free,2025-10-02
96,Entrepreneur,Referral,Free,2024-06-07
97,Freelancer,Organic Search,Free,2024-02-08
98,Entrepreneur,Referral,Free,2025-04-24
99,Freelancer,Organic Search,Free,2024-05-07
100,Employee,Referral,Pro,2025-09-10
101,Student,Organic Search,Free,2024-05-25
102,Student,Paid Ads,Free,2025-07-29
103,Employee,Paid Ads,Pro,2024-03-10
104,Freelancer,Social Media,Free,2025-11-09
105,Employee,Social Media,Free,2025-06-21
