log_id,user_id,book_id,start_date,completion_date,is_completed,reminder_opt_in,action_performed,action_verification_date
1,168.0,24,2025-10-04,2025-10-27,True,True,False,
2,,35,2025-11-27,2025-12-05,True,False,True,2025-12-12
3,135.0,2,2025-09-27,,False,True,False,
4,388.0,2,2024-10-12,,False,True,False,
5,489.0,4,2025-04-17,2025-05-06,True,True,False,
6,1.0,6,2025-11-28,2025-12-25,True,True,True,2025-12-26
7,353.0,21,2025-04-20,2025-05-04,True,False,True,2025-05-13
8,55.0,28,2025-07-20,,False,True,False,
9,44.0,2,2025-05-08,2025-06-04,True,True,True,2025-06-15
10,460.0,34,2025-04-29,,False,False,False,
11,313.0,39,2025-10-12,2025-11-01,True,False,True,2025-11-06
12,268.0,32,2025-09-29,,False,False,False,
13,376.0,31,2025-12-26,,False,True,False,
14,69.0,21,2025-06-30,2025-07-13,True,True,False,
15,439.0,6,2025-12-14,2026-01-04,True,False,False,
16,323.0,7,2025-12-08,2025-12-30,True,True,False,
17,355.0,20,2025-11-27,,False,False,False,
18,421.0,26,2025-06-02,2025-07-01,True,False,False,
19,468.0,34,2024-10-30,,False,True,False,
20,368.0,11,2025-08-01,2025-08-26,True,False,False,
21,82.0,20,2025-07-15,,False,True,False,
22,321.0,19,2025-12-21,2026-01-05,True,False,True,2026-01-12
23,309.0,4,2025-08-03,2025-08-27,True,True,False,
24,301.0,3,2025-12-25,,False,False,False,
25,103.0,21,2025-08-31,2025-09-16,True,False,False,
26,24.0,11,2025-12-09,,False,False,False,
27,147.0,33,2025-12-19,,False,True,False,
28,59.0,15,2025-04-17,,False,True,False,
29,370.0,16,2024-09-01,2024-09-24,True,False,False,
30,420.0,10,2024-09-13,,False,False,False,
31,455.0,16,2025-01-24,2025-01-31,True,False,False,
32,337.0,33,2025-06-05,2025-06-21,True,False,False,
33,259.0,39,2025-02-22,2025-03-11,True,False,True,2025-03-20
34,300.0,39,2024-07-20,2024-08-09,True,False,True,2024-08-10
35,357.0,11,2025-05-19,2025-06-05,True,True,False,
36,263.0,10,2025-09-01,,False,True,False,
37,354.0,2,2024-11-20,,False,True,False,
38,99.0,33,2024-06-01,,False,False,False,
39,445.0,34,2025-12-28,,False,False,False,
40,27.0,15,2025-11-02,,False,False,False,
41,356.0,34,2025-12-31,,False,True,False,
42,260.0,15,2025-10-22,2025-11-03,True,True,True,2025-11-04
43,499.0,23,2025-01-27,2025-02-02,True,False,False,
44,90.0,1,2025-12-24,,False,True,False,
45,74.0,10,2025-05-02,2025-05-30,True,False,False,
46,299.0,28,2025-10-10,2025-10-18,True,False,False,
47,59.0,6,2024-06-14,2024-07-07,True,False,False,
48,323.0,5,2025-07-15,2025-07-31,True,True,True,2025-08-07
49,153.0,6,2024-09-03,2024-09-23,True,True,False,
50,329.0,2,2025-10-05,2025-10-19,True,True,False,
51,412.0,15,2025-08-05,2025-08-31,True,True,False,
52,161.0,40,2025-12-28,2026-01-04,True,True,True,2026-01-11
53,364.0,6,2025-12-23,,False,False,False,
54,473.0,16,2025-06-29,2025-07-17,True,False,True,2025-07-18
55,8.0,5,2025-03-24,,False,False,False,
56,114.0,4,2025-11-25,,False,True,False,
57,449.0,36,2025-06-29,2025-07-04,True,True,False,
58,114.0,7,2025-03-29,,False,False,False,
59,86.0,21,2025-12-05,,False,True,False,
60,10.0,26,2025-08-06,2025-08-17,True,False,False,
61,484.0,4,2024-07-11,2024-07-26,True,True,False,
62,99.0,4,2024-12-14,,False,False,False,
63,210.0,28,2025-12-24,,False,True,False,
64,373.0,9,2025-04-14,,False,False,False,
65,105.0,6,2025-08-24,,False,True,False,
66,78.0,2,2025-07-24,,False,True,False,
67,66.0,22,2025-07-09,2025-07-22,True,True,True,2025-07-31
68,200.0,20,2025-12-30,,False,True,False,
69,418.0,35,2025-04-18,,False,False,False,
