# ----------------------------------------
# Book Execution MVP
# Funnel-Funnel exploration 1
# 20260113-20260118
# ----------------------------------------

Step,Device category,Active users,Completion rate,Abandonments,Abandonment rate
1. session_start,Total,107,0.07476635514018691,99,0.9252336448598131
1. session_start,mobile,101,0.04950495049504951,96,0.9504950495049505
1. session_start,desktop,5,0.6,2,0.4
1. session_start,tablet,1,0,1,1
2. scroll,Total,8,0.375,5,0.625
2. scroll,mobile,5,0.2,4,0.8
2. scroll,desktop,3,0.6666666666666666,1,0.3333333333333333
2. scroll,tablet,0,,,
3. frame_start,Total,3,0,3,1
3. frame_start,mobile,1,0,1,1
3. frame_start,desktop,2,0,2,1
3. frame_start,tablet,0,,,
4. frame_save,Total,0,,,
4. frame_save,mobile,0,,,
4. frame_save,desktop,0,,,
4. frame_save,tablet,0,,,

